date,consumption_kwh,device
2021-08-02 12:00:00-03:00,0.1342213119,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-02 13:00:00-03:00,0.150778941,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-02 14:00:00-03:00,0.1587542949,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-02 15:00:00-03:00,0.1586070157,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-02 16:00:00-03:00,0.1372632881,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-02 17:00:00-03:00,0.1147724837,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-02 18:00:00-03:00,0.1554597841,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-02 19:00:00-03:00,0.1807987048,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-02 20:00:00-03:00,0.1874127443,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-02 21:00:00-03:00,0.2987249726,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-02 22:00:00-03:00,0.2412140366,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-02 23:00:00-03:00,0.2431335628,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-03 00:00:00-03:00,0.2737159012,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-03 01:00:00-03:00,0.2760373474,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-03 02:00:00-03:00,0.2490008682,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-03 03:00:00-03:00,0.2485134923,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-03 04:00:00-03:00,0.2495054476,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-03 05:00:00-03:00,0.1950334827,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-03 06:00:00-03:00,0.1342563487,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-03 07:00:00-03:00,0.0924699715,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-03 08:00:00-03:00,0.4045405155,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-03 09:00:00-03:00,0.1973132378,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-03 10:00:00-03:00,0.1439499535,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-03 11:00:00-03:00,0.1652496813,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-03 12:00:00-03:00,0.1445159034,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-03 13:00:00-03:00,0.1742335616,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-03 14:00:00-03:00,0.1899242314,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-03 15:00:00-03:00,0.158021119,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-03 16:00:00-03:00,0.1674082899,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-03 17:00:00-03:00,0.1881788147,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-03 18:00:00-03:00,0.1631739193,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-03 19:00:00-03:00,0.2672191092,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-03 20:00:00-03:00,0.3114821354,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-03 21:00:00-03:00,0.238613208,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-03 22:00:00-03:00,0.2417317914,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-03 23:00:00-03:00,0.2660705362,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-04 00:00:00-03:00,0.2704733202,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-04 01:00:00-03:00,0.2535741849,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-04 02:00:00-03:00,0.253130353,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-04 03:00:00-03:00,0.2504889586,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-04 04:00:00-03:00,0.2449833775,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-04 05:00:00-03:00,0.2188908984,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-04 06:00:00-03:00,0.1335392793,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-04 07:00:00-03:00,0.1689257688,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-04 08:00:00-03:00,0.134232967,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-04 09:00:00-03:00,0.1072811331,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-04 10:00:00-03:00,0.0,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-04 11:00:00-03:00,0.0,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-04 12:00:00-03:00,0.0129324207,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-04 13:00:00-03:00,0.1456526143,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-04 14:00:00-03:00,0.0839149654,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-04 15:00:00-03:00,0.16344063,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-04 16:00:00-03:00,0.1663695307,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-04 17:00:00-03:00,0.1358138248,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-04 18:00:00-03:00,0.1866984425,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-04 19:00:00-03:00,0.1655803614,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-04 20:00:00-03:00,0.1358878581,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-04 21:00:00-03:00,0.1714343284,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-04 22:00:00-03:00,0.2198563508,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-04 23:00:00-03:00,0.2418053915,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-05 00:00:00-03:00,0.2369631822,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-05 01:00:00-03:00,0.236699925,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-05 02:00:00-03:00,0.2129756026,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-05 03:00:00-03:00,0.240032882,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-05 04:00:00-03:00,0.2377323766,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-05 05:00:00-03:00,0.1927901186,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-05 06:00:00-03:00,0.1275777006,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-05 07:00:00-03:00,0.1171730566,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-05 08:00:00-03:00,0.160159506,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-05 09:00:00-03:00,0.1514819124,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-05 10:00:00-03:00,0.1516835567,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-05 11:00:00-03:00,0.2981046549,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-05 12:00:00-03:00,0.1598240173,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-05 13:00:00-03:00,0.1840092278,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-05 14:00:00-03:00,0.1615579546,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-05 15:00:00-03:00,0.1638624517,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-05 16:00:00-03:00,0.1295105762,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-05 17:00:00-03:00,0.112721442,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-05 18:00:00-03:00,0.1231185917,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-05 19:00:00-03:00,0.1483722628,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-05 20:00:00-03:00,0.1993955002,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-05 21:00:00-03:00,0.1729217943,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-05 22:00:00-03:00,0.1789086638,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-05 23:00:00-03:00,0.1809759152,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-06 00:00:00-03:00,0.1985684937,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-06 01:00:00-03:00,0.1692054354,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-06 02:00:00-03:00,0.1577122141,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-06 03:00:00-03:00,0.1638206009,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-06 04:00:00-03:00,0.1613814306,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-06 05:00:00-03:00,0.1688970183,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-06 06:00:00-03:00,0.1557524168,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-06 07:00:00-03:00,0.1123673547,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-06 08:00:00-03:00,0.1415834087,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-06 09:00:00-03:00,0.1431124138,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-06 10:00:00-03:00,0.1449685899,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-06 11:00:00-03:00,0.1142411809,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-06 12:00:00-03:00,0.1242877523,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-06 13:00:00-03:00,0.1045612881,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-06 14:00:00-03:00,0.1002367988,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-06 15:00:00-03:00,0.1665536556,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-06 16:00:00-03:00,0.1511607022,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-06 17:00:00-03:00,0.1344533514,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-06 18:00:00-03:00,0.1099404906,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-06 19:00:00-03:00,0.1019653461,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-06 20:00:00-03:00,0.1033878609,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-06 21:00:00-03:00,0.1019801635,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-06 22:00:00-03:00,0.102142206,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-06 23:00:00-03:00,0.1031658166,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-07 00:00:00-03:00,0.1039483117,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-07 01:00:00-03:00,0.1016369809,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-07 02:00:00-03:00,0.1007149548,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-07 03:00:00-03:00,0.1012033546,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-07 04:00:00-03:00,0.0992546205,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-07 05:00:00-03:00,0.1001233962,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-07 06:00:00-03:00,0.1010999929,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-07 07:00:00-03:00,0.1184545559,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-07 08:00:00-03:00,0.1621605996,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-07 09:00:00-03:00,0.1296193891,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-07 10:00:00-03:00,0.1284738245,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-07 11:00:00-03:00,0.1319057271,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-07 12:00:00-03:00,0.2830696744,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-07 13:00:00-03:00,0.1638332623,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-07 14:00:00-03:00,0.1218465015,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-07 15:00:00-03:00,0.1133953067,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-07 16:00:00-03:00,0.2083005008,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-07 17:00:00-03:00,0.2361164021,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-07 18:00:00-03:00,0.223446639,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-07 19:00:00-03:00,0.1651135868,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-07 20:00:00-03:00,0.1021903444,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-07 21:00:00-03:00,0.1010801373,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-07 22:00:00-03:00,0.1006450635,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-07 23:00:00-03:00,0.1008410224,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-08 00:00:00-03:00,0.0997016747,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-08 01:00:00-03:00,0.1052014907,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-08 02:00:00-03:00,0.1061952753,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-08 03:00:00-03:00,0.1051559295,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-08 04:00:00-03:00,0.1047550047,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-08 05:00:00-03:00,0.1002594922,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-08 06:00:00-03:00,0.1005384405,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-08 07:00:00-03:00,0.0994361352,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-08 08:00:00-03:00,0.1349667552,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-08 09:00:00-03:00,0.1211935251,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-08 10:00:00-03:00,0.1890668465,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-08 11:00:00-03:00,0.1320504049,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-08 12:00:00-03:00,0.1249496386,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-08 13:00:00-03:00,0.2442567763,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-08 14:00:00-03:00,0.2222458775,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-08 15:00:00-03:00,0.1507087899,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-08 16:00:00-03:00,0.1206102785,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-08 17:00:00-03:00,0.1556250608,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-08 18:00:00-03:00,0.1059748076,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-08 19:00:00-03:00,0.0966142829,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-08 20:00:00-03:00,0.1007358735,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-08 21:00:00-03:00,0.1004341066,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-08 22:00:00-03:00,0.1003206104,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-08 23:00:00-03:00,0.1046171835,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-09 00:00:00-03:00,0.1056104455,a32ab0af-970c-11ec-9779-a463a116a9e2
2021-08-09 01:00:00-03:00,0.1039384361,a32ab0af-970c-11ec-9779-a463a116a9e2
