created_at,device_id,power
2021-09-08T03:00:00Z,24:6F:28:A9:A8:40,312.6536
2021-09-08T03:00:01Z,24:6F:28:A9:A8:40,307.7021
2021-09-08T03:00:03Z,24:6F:28:A9:A8:40,305.8995
2021-09-08T03:00:04Z,24:6F:28:A9:A8:40,310.7635
2021-09-08T03:00:05Z,24:6F:28:A9:A8:40,312.5334
2021-09-08T03:00:06Z,24:6F:28:A9:A8:40,312.5998
2021-09-08T03:00:07Z,24:6F:28:A9:A8:40,308.0305
2021-09-08T03:00:08Z,24:6F:28:A9:A8:40,313.4059
2021-09-08T03:00:09Z,24:6F:28:A9:A8:40,311.221
2021-09-08T03:00:11Z,24:6F:28:A9:A8:40,310.8967
2021-09-08T03:00:12Z,24:6F:28:A9:A8:40,323.8102
2021-09-08T03:00:13Z,24:6F:28:A9:A8:40,311.2669
2021-09-08T03:00:14Z,24:6F:28:A9:A8:40,316.5067
2021-09-08T03:00:15Z,24:6F:28:A9:A8:40,306.7457
2021-09-08T03:00:16Z,24:6F:28:A9:A8:40,309.797
2021-09-08T03:00:17Z,24:6F:28:A9:A8:40,304.438
2021-09-08T03:00:18Z,24:6F:28:A9:A8:40,309.3722
2021-09-08T03:00:20Z,24:6F:28:A9:A8:40,305.9356
2021-09-08T03:00:21Z,24:6F:28:A9:A8:40,313.4938
2021-09-08T03:00:22Z,24:6F:28:A9:A8:40,306.9529
2021-09-08T03:00:23Z,24:6F:28:A9:A8:40,304.9242
2021-09-08T03:00:24Z,24:6F:28:A9:A8:40,312.3411
2021-09-08T03:00:25Z,24:6F:28:A9:A8:40,305.4325
2021-09-08T03:00:26Z,24:6F:28:A9:A8:40,312.5932
2021-09-08T03:00:27Z,24:6F:28:A9:A8:40,307.2816
2021-09-08T03:00:29Z,24:6F:28:A9:A8:40,308.8528
2021-09-08T03:00:30Z,24:6F:28:A9:A8:40,309.7439
2021-09-08T03:00:31Z,24:6F:28:A9:A8:40,304.7473
2021-09-08T03:00:32Z,24:6F:28:A9:A8:40,313.5463
2021-09-08T03:00:33Z,24:6F:28:A9:A8:40,313.5086
2021-09-08T03:00:35Z,24:6F:28:A9:A8:40,305.3205
2021-09-08T03:00:37Z,24:6F:28:A9:A8:40,310.7526
2021-09-08T03:00:38Z,24:6F:28:A9:A8:40,310.8462
2021-09-08T03:00:40Z,24:6F:28:A9:A8:40,321.1255
2021-09-08T03:00:41Z,24:6F:28:A9:A8:40,311.2475
2021-09-08T03:00:42Z,24:6F:28:A9:A8:40,304.1648
2021-09-08T03:00:43Z,24:6F:28:A9:A8:40,311.6899
2021-09-08T03:00:44Z,24:6F:28:A9:A8:40,302.2171
2021-09-08T03:00:45Z,24:6F:28:A9:A8:40,311.7354
2021-09-08T03:00:51Z,24:6F:28:A9:A8:40,314.3678
2021-09-08T03:00:52Z,24:6F:28:A9:A8:40,328.978
2021-09-08T03:00:54Z,24:6F:28:A9:A8:40,308.7612
2021-09-08T03:00:55Z,24:6F:28:A9:A8:40,312.7411
2021-09-08T03:00:56Z,24:6F:28:A9:A8:40,309.1915
2021-09-08T03:00:57Z,24:6F:28:A9:A8:40,316.6203
2021-09-08T03:00:58Z,24:6F:28:A9:A8:40,316.152
2021-09-08T03:00:59Z,24:6F:28:A9:A8:40,308.2082
2021-09-08T03:01:00Z,24:6F:28:A9:A8:40,311.1624
2021-09-08T03:01:01Z,24:6F:28:A9:A8:40,310.6554
2021-09-08T03:01:03Z,24:6F:28:A9:A8:40,304.5315
2021-09-08T03:01:04Z,24:6F:28:A9:A8:40,311.2657
2021-09-08T03:01:05Z,24:6F:28:A9:A8:40,309.5254
2021-09-08T03:01:06Z,24:6F:28:A9:A8:40,305.1755
2021-09-08T03:01:07Z,24:6F:28:A9:A8:40,318.3613
2021-09-08T03:01:08Z,24:6F:28:A9:A8:40,310.5751
2021-09-08T03:01:09Z,24:6F:28:A9:A8:40,309.4057
2021-09-08T03:01:11Z,24:6F:28:A9:A8:40,305.6531
2021-09-08T03:01:12Z,24:6F:28:A9:A8:40,311.2555
2021-09-08T03:01:13Z,24:6F:28:A9:A8:40,312.1526
2021-09-08T03:01:14Z,24:6F:28:A9:A8:40,309.8009
2021-09-08T03:01:15Z,24:6F:28:A9:A8:40,303.3981
2021-09-08T03:01:16Z,24:6F:28:A9:A8:40,310.5676
2021-09-08T03:01:17Z,24:6F:28:A9:A8:40,312.222
2021-09-08T03:01:18Z,24:6F:28:A9:A8:40,310.094
2021-09-08T03:01:20Z,24:6F:28:A9:A8:40,309.4709
2021-09-08T03:01:21Z,24:6F:28:A9:A8:40,313.0857
2021-09-08T03:01:22Z,24:6F:28:A9:A8:40,307.5652
2021-09-08T03:01:23Z,24:6F:28:A9:A8:40,315.5936
2021-09-08T03:01:24Z,24:6F:28:A9:A8:40,310.4279
2021-09-08T03:01:25Z,24:6F:28:A9:A8:40,313.6379
2021-09-08T03:01:26Z,24:6F:28:A9:A8:40,320.5429
2021-09-08T03:01:27Z,24:6F:28:A9:A8:40,306.2255
2021-09-08T03:01:29Z,24:6F:28:A9:A8:40,311.2127
2021-09-08T03:01:30Z,24:6F:28:A9:A8:40,311.1058
2021-09-08T03:01:31Z,24:6F:28:A9:A8:40,300.9608
2021-09-08T03:01:32Z,24:6F:28:A9:A8:40,312.7606
2021-09-08T03:01:33Z,24:6F:28:A9:A8:40,309.5031
2021-09-08T03:01:34Z,24:6F:28:A9:A8:40,312.2146
2021-09-08T03:01:35Z,24:6F:28:A9:A8:40,324.1987
2021-09-08T03:01:36Z,24:6F:28:A9:A8:40,311.9883
2021-09-08T03:01:38Z,24:6F:28:A9:A8:40,308.8602
2021-09-08T03:01:39Z,24:6F:28:A9:A8:40,304.7802
2021-09-08T03:01:40Z,24:6F:28:A9:A8:40,319.6993
2021-09-08T03:01:41Z,24:6F:28:A9:A8:40,311.3243
2021-09-08T03:01:42Z,24:6F:28:A9:A8:40,334.9103
2021-09-08T03:01:43Z,24:6F:28:A9:A8:40,328.1045
2021-09-08T03:01:44Z,24:6F:28:A9:A8:40,312.0423
2021-09-08T03:01:46Z,24:6F:28:A9:A8:40,305.1521
2021-09-08T03:01:47Z,24:6F:28:A9:A8:40,306.6412
2021-09-08T03:01:48Z,24:6F:28:A9:A8:40,322.4596
2021-09-08T03:01:49Z,24:6F:28:A9:A8:40,310.1175
2021-09-08T03:01:50Z,24:6F:28:A9:A8:40,303.7931
2021-09-08T03:01:51Z,24:6F:28:A9:A8:40,311.6963
2021-09-08T03:01:52Z,24:6F:28:A9:A8:40,309.6081
2021-09-08T03:01:53Z,24:6F:28:A9:A8:40,303.1528
2021-09-08T03:01:55Z,24:6F:28:A9:A8:40,310.8392
2021-09-08T03:01:56Z,24:6F:28:A9:A8:40,313.0907
2021-09-08T03:01:57Z,24:6F:28:A9:A8:40,309.4492
2021-09-08T03:01:58Z,24:6F:28:A9:A8:40,311.8177
2021-09-08T03:01:59Z,24:6F:28:A9:A8:40,311.3067
2021-09-08T03:02:00Z,24:6F:28:A9:A8:40,305.9438
2021-09-08T03:02:01Z,24:6F:28:A9:A8:40,305.1905
2021-09-08T03:02:02Z,24:6F:28:A9:A8:40,314.3778
2021-09-08T03:02:04Z,24:6F:28:A9:A8:40,308.759
2021-09-08T03:02:05Z,24:6F:28:A9:A8:40,302.8415
2021-09-08T03:02:06Z,24:6F:28:A9:A8:40,313.8773
2021-09-08T03:02:07Z,24:6F:28:A9:A8:40,313.726
2021-09-08T03:02:08Z,24:6F:28:A9:A8:40,308.7834
2021-09-08T03:02:09Z,24:6F:28:A9:A8:40,305.1742
2021-09-08T03:02:10Z,24:6F:28:A9:A8:40,312.6134
2021-09-08T03:02:11Z,24:6F:28:A9:A8:40,313.289
2021-09-08T03:02:13Z,24:6F:28:A9:A8:40,305.9232
2021-09-08T03:02:14Z,24:6F:28:A9:A8:40,305.2665
2021-09-08T03:02:15Z,24:6F:28:A9:A8:40,312.8999
2021-09-08T03:02:16Z,24:6F:28:A9:A8:40,306.5352
2021-09-08T03:02:17Z,24:6F:28:A9:A8:40,305.8336
2021-09-08T03:02:18Z,24:6F:28:A9:A8:40,329.8822
2021-09-08T03:02:19Z,24:6F:28:A9:A8:40,311.4366
2021-09-08T03:02:20Z,24:6F:28:A9:A8:40,305.4559
2021-09-08T03:02:22Z,24:6F:28:A9:A8:40,306.4824
2021-09-08T03:02:23Z,24:6F:28:A9:A8:40,310.9434
2021-09-08T03:02:24Z,24:6F:28:A9:A8:40,305.6305
2021-09-08T03:02:25Z,24:6F:28:A9:A8:40,309.1901
2021-09-08T03:02:26Z,24:6F:28:A9:A8:40,307.4001
2021-09-08T03:02:27Z,24:6F:28:A9:A8:40,317.8926
2021-09-08T03:02:28Z,24:6F:28:A9:A8:40,313.5783
2021-09-08T03:02:29Z,24:6F:28:A9:A8:40,319.3932
2021-09-08T03:02:31Z,24:6F:28:A9:A8:40,305.2094
2021-09-08T03:02:32Z,24:6F:28:A9:A8:40,309.0398
2021-09-08T03:02:33Z,24:6F:28:A9:A8:40,302.3207
2021-09-08T03:02:34Z,24:6F:28:A9:A8:40,310.5668
2021-09-08T03:02:35Z,24:6F:28:A9:A8:40,312.9323
2021-09-08T03:02:36Z,24:6F:28:A9:A8:40,304.2785
2021-09-08T03:02:37Z,24:6F:28:A9:A8:40,312.1697
2021-09-08T03:02:39Z,24:6F:28:A9:A8:40,307.2111
2021-09-08T03:02:40Z,24:6F:28:A9:A8:40,310.2914
2021-09-08T03:02:41Z,24:6F:28:A9:A8:40,308.4885
2021-09-08T03:02:42Z,24:6F:28:A9:A8:40,307.2489
2021-09-08T03:02:43Z,24:6F:28:A9:A8:40,304.9672
2021-09-08T03:02:44Z,24:6F:28:A9:A8:40,311.2819
2021-09-08T03:02:45Z,24:6F:28:A9:A8:40,305.6589
2021-09-08T03:02:46Z,24:6F:28:A9:A8:40,311.3933
2021-09-08T03:02:48Z,24:6F:28:A9:A8:40,312.42
2021-09-08T03:02:49Z,24:6F:28:A9:A8:40,306.0872
2021-09-08T03:02:50Z,24:6F:28:A9:A8:40,308.785
2021-09-08T03:02:51Z,24:6F:28:A9:A8:40,303.3716
2021-09-08T03:02:52Z,24:6F:28:A9:A8:40,309.6159
2021-09-08T03:02:53Z,24:6F:28:A9:A8:40,307.2696
2021-09-08T03:02:54Z,24:6F:28:A9:A8:40,311.428
2021-09-08T03:02:55Z,24:6F:28:A9:A8:40,305.6701
2021-09-08T03:02:57Z,24:6F:28:A9:A8:40,305.8828
2021-09-08T03:02:58Z,24:6F:28:A9:A8:40,308.5747
2021-09-08T03:02:59Z,24:6F:28:A9:A8:40,306.4404
2021-09-08T03:03:00Z,24:6F:28:A9:A8:40,306.9931
2021-09-08T03:03:01Z,24:6F:28:A9:A8:40,320.8132
2021-09-08T03:03:02Z,24:6F:28:A9:A8:40,313.0277
2021-09-08T03:03:03Z,24:6F:28:A9:A8:40,314.1947
2021-09-08T03:03:04Z,24:6F:28:A9:A8:40,313.2381
2021-09-08T03:03:06Z,24:6F:28:A9:A8:40,309.3282
2021-09-08T03:03:07Z,24:6F:28:A9:A8:40,302.4831
2021-09-08T03:03:08Z,24:6F:28:A9:A8:40,311.0699
2021-09-08T03:03:09Z,24:6F:28:A9:A8:40,307.7448
2021-09-08T03:03:10Z,24:6F:28:A9:A8:40,305.58
2021-09-08T03:03:11Z,24:6F:28:A9:A8:40,311.6461
2021-09-08T03:03:12Z,24:6F:28:A9:A8:40,307.6949
2021-09-08T03:03:13Z,24:6F:28:A9:A8:40,325.8616
2021-09-08T03:03:15Z,24:6F:28:A9:A8:40,313.6165
2021-09-08T03:03:16Z,24:6F:28:A9:A8:40,303.1762
2021-09-08T03:03:17Z,24:6F:28:A9:A8:40,312.0491
2021-09-08T03:03:18Z,24:6F:28:A9:A8:40,310.0807
2021-09-08T03:03:19Z,24:6F:28:A9:A8:40,304.3802
2021-09-08T03:03:20Z,24:6F:28:A9:A8:40,309.7805
2021-09-08T03:03:21Z,24:6F:28:A9:A8:40,304.9895
2021-09-08T03:03:22Z,24:6F:28:A9:A8:40,310.6131
2021-09-08T03:03:24Z,24:6F:28:A9:A8:40,307.5069
2021-09-08T03:03:25Z,24:6F:28:A9:A8:40,307.7043
2021-09-08T03:03:26Z,24:6F:28:A9:A8:40,313.4282
2021-09-08T03:03:27Z,24:6F:28:A9:A8:40,305.8745
2021-09-08T03:03:28Z,24:6F:28:A9:A8:40,311.1547
2021-09-08T03:03:29Z,24:6F:28:A9:A8:40,303.8563
