created_at,device_id,power
2021-10-22T03:00:00Z,24:6F:28:A9:A8:40,263.8923
2021-10-22T03:00:02Z,24:6F:28:A9:A8:40,283.5509
2021-10-22T03:00:03Z,24:6F:28:A9:A8:40,263.775
2021-10-22T03:00:04Z,24:6F:28:A9:A8:40,272.1818
2021-10-22T03:00:05Z,24:6F:28:A9:A8:40,284.5515
2021-10-22T03:00:07Z,24:6F:28:A9:A8:40,267.2486
2021-10-22T03:00:08Z,24:6F:28:A9:A8:40,269.35
2021-10-22T03:00:09Z,24:6F:28:A9:A8:40,267.6771
2021-10-22T03:00:10Z,24:6F:28:A9:A8:40,273.1112
2021-10-22T03:00:11Z,24:6F:28:A9:A8:40,281.1038
2021-10-22T03:00:13Z,24:6F:28:A9:A8:40,269.4074
2021-10-22T03:00:14Z,24:6F:28:A9:A8:40,269.1324
2021-10-22T03:00:15Z,24:6F:28:A9:A8:40,262.0521
2021-10-22T03:00:17Z,24:6F:28:A9:A8:40,267.3522
2021-10-22T03:00:18Z,24:6F:28:A9:A8:40,270.644
2021-10-22T03:00:19Z,24:6F:28:A9:A8:40,272.7266
2021-10-22T03:00:20Z,24:6F:28:A9:A8:40,263.7699
2021-10-22T03:00:22Z,24:6F:28:A9:A8:40,271.4101
2021-10-22T03:00:23Z,24:6F:28:A9:A8:40,270.0558
2021-10-22T03:00:24Z,24:6F:28:A9:A8:40,261.2807
2021-10-22T03:00:25Z,24:6F:28:A9:A8:40,271.9951
2021-10-22T03:00:26Z,24:6F:28:A9:A8:40,273.4471
2021-10-22T03:00:28Z,24:6F:28:A9:A8:40,262.7825
2021-10-22T03:00:29Z,24:6F:28:A9:A8:40,269.3729
2021-10-22T03:00:30Z,24:6F:28:A9:A8:40,266.9854
2021-10-22T03:00:31Z,24:6F:28:A9:A8:40,262.1562
2021-10-22T03:00:33Z,24:6F:28:A9:A8:40,272.306
2021-10-22T03:00:34Z,24:6F:28:A9:A8:40,262.7582
2021-10-22T03:00:35Z,24:6F:28:A9:A8:40,263.9944
2021-10-22T03:00:36Z,24:6F:28:A9:A8:40,266.447
2021-10-22T03:00:38Z,24:6F:28:A9:A8:40,271.8468
2021-10-22T03:00:39Z,24:6F:28:A9:A8:40,260.8822
2021-10-22T03:00:40Z,24:6F:28:A9:A8:40,260.5138
2021-10-22T03:00:41Z,24:6F:28:A9:A8:40,264.8675
2021-10-22T03:00:42Z,24:6F:28:A9:A8:40,265.4711
2021-10-22T03:00:44Z,24:6F:28:A9:A8:40,266.8782
2021-10-22T03:00:45Z,24:6F:28:A9:A8:40,259.4927
2021-10-22T03:00:46Z,24:6F:28:A9:A8:40,261.9338
2021-10-22T03:00:47Z,24:6F:28:A9:A8:40,262.1375
2021-10-22T03:00:48Z,24:6F:28:A9:A8:40,272.2516
2021-10-22T03:00:50Z,24:6F:28:A9:A8:40,266.3516
2021-10-22T03:00:51Z,24:6F:28:A9:A8:40,264.3915
2021-10-22T03:00:52Z,24:6F:28:A9:A8:40,256.9523
2021-10-22T03:00:53Z,24:6F:28:A9:A8:40,270.6878
2021-10-22T03:00:54Z,24:6F:28:A9:A8:40,265.9802
2021-10-22T03:00:56Z,24:6F:28:A9:A8:40,264.6633
2021-10-22T03:00:57Z,24:6F:28:A9:A8:40,258.3459
2021-10-22T03:00:58Z,24:6F:28:A9:A8:40,264.6762
2021-10-22T03:00:59Z,24:6F:28:A9:A8:40,265.1028
2021-10-22T03:01:01Z,24:6F:28:A9:A8:40,258.2002
2021-10-22T03:01:02Z,24:6F:28:A9:A8:40,260.5694
2021-10-22T03:01:03Z,24:6F:28:A9:A8:40,257.2932
2021-10-22T03:01:04Z,24:6F:28:A9:A8:40,256.0378
2021-10-22T03:01:05Z,24:6F:28:A9:A8:40,259.9047
2021-10-22T03:01:07Z,24:6F:28:A9:A8:40,259.5856
2021-10-22T03:01:08Z,24:6F:28:A9:A8:40,259.2758
2021-10-22T03:01:09Z,24:6F:28:A9:A8:40,263.6996
2021-10-22T03:01:10Z,24:6F:28:A9:A8:40,263.3588
2021-10-22T03:01:11Z,24:6F:28:A9:A8:40,264.0286
2021-10-22T03:01:13Z,24:6F:28:A9:A8:40,262.4959
2021-10-22T03:01:14Z,24:6F:28:A9:A8:40,264.6505
2021-10-22T03:01:15Z,24:6F:28:A9:A8:40,262.1862
2021-10-22T03:01:16Z,24:6F:28:A9:A8:40,256.9122
2021-10-22T03:01:17Z,24:6F:28:A9:A8:40,264.3148
2021-10-22T03:01:19Z,24:6F:28:A9:A8:40,264.6814
2021-10-22T03:01:20Z,24:6F:28:A9:A8:40,267.713
2021-10-22T03:01:21Z,24:6F:28:A9:A8:40,265.6018
2021-10-22T03:01:22Z,24:6F:28:A9:A8:40,265.2409
2021-10-22T03:01:24Z,24:6F:28:A9:A8:40,265.5313
2021-10-22T03:01:25Z,24:6F:28:A9:A8:40,261.9252
2021-10-22T03:01:26Z,24:6F:28:A9:A8:40,263.9527
2021-10-22T03:01:27Z,24:6F:28:A9:A8:40,267.3253
2021-10-22T03:01:28Z,24:6F:28:A9:A8:40,264.6844
2021-10-22T03:01:30Z,24:6F:28:A9:A8:40,260.7259
2021-10-22T03:01:31Z,24:6F:28:A9:A8:40,263.3551
2021-10-22T03:01:32Z,24:6F:28:A9:A8:40,261.5591
2021-10-22T03:01:33Z,24:6F:28:A9:A8:40,265.4393
2021-10-22T03:01:34Z,24:6F:28:A9:A8:40,264.8815
2021-10-22T03:01:36Z,24:6F:28:A9:A8:40,294.147
2021-10-22T03:01:37Z,24:6F:28:A9:A8:40,260.3018
2021-10-22T03:01:38Z,24:6F:28:A9:A8:40,262.2448
2021-10-22T03:01:39Z,24:6F:28:A9:A8:40,256.2155
2021-10-22T03:01:40Z,24:6F:28:A9:A8:40,264.0679
2021-10-22T03:01:42Z,24:6F:28:A9:A8:40,260.3158
2021-10-22T03:01:43Z,24:6F:28:A9:A8:40,262.1297
2021-10-22T03:01:44Z,24:6F:28:A9:A8:40,261.8051
2021-10-22T03:01:45Z,24:6F:28:A9:A8:40,262.2771
2021-10-22T03:01:47Z,24:6F:28:A9:A8:40,262.3269
2021-10-22T03:01:48Z,24:6F:28:A9:A8:40,263.2141
2021-10-22T03:01:49Z,24:6F:28:A9:A8:40,264.0004
2021-10-22T03:01:50Z,24:6F:28:A9:A8:40,266.6312
2021-10-22T03:01:51Z,24:6F:28:A9:A8:40,263.1778
2021-10-22T03:01:53Z,24:6F:28:A9:A8:40,266.0955
2021-10-22T03:01:54Z,24:6F:28:A9:A8:40,259.4746
2021-10-22T03:01:55Z,24:6F:28:A9:A8:40,256.5884
2021-10-22T03:01:56Z,24:6F:28:A9:A8:40,276.6559
2021-10-22T03:01:57Z,24:6F:28:A9:A8:40,262.5005
2021-10-22T03:01:59Z,24:6F:28:A9:A8:40,265.3105
2021-10-22T03:02:00Z,24:6F:28:A9:A8:40,262.8918
2021-10-22T03:02:01Z,24:6F:28:A9:A8:40,265.9635
2021-10-22T03:02:02Z,24:6F:28:A9:A8:40,265.8882
2021-10-22T03:02:03Z,24:6F:28:A9:A8:40,273.8295
2021-10-22T03:02:05Z,24:6F:28:A9:A8:40,264.4009
2021-10-22T03:02:06Z,24:6F:28:A9:A8:40,263.3362
2021-10-22T03:02:07Z,24:6F:28:A9:A8:40,266.4963
2021-10-22T03:02:08Z,24:6F:28:A9:A8:40,267.0566
2021-10-22T03:02:10Z,24:6F:28:A9:A8:40,265.4615
2021-10-22T03:02:11Z,24:6F:28:A9:A8:40,264.0888
2021-10-22T03:02:12Z,24:6F:28:A9:A8:40,264.4113
2021-10-22T03:02:13Z,24:6F:28:A9:A8:40,264.0302
2021-10-22T03:02:14Z,24:6F:28:A9:A8:40,263.6013
2021-10-22T03:02:16Z,24:6F:28:A9:A8:40,265.1151
2021-10-22T03:02:17Z,24:6F:28:A9:A8:40,261.3556
2021-10-22T03:02:18Z,24:6F:28:A9:A8:40,257.9019
2021-10-22T03:02:19Z,24:6F:28:A9:A8:40,256.0878
2021-10-22T03:02:20Z,24:6F:28:A9:A8:40,256.8588
2021-10-22T03:02:22Z,24:6F:28:A9:A8:40,266.0561
2021-10-22T03:02:23Z,24:6F:28:A9:A8:40,263.2806
2021-10-22T03:02:24Z,24:6F:28:A9:A8:40,259.9525
2021-10-22T03:02:25Z,24:6F:28:A9:A8:40,261.8392
2021-10-22T03:02:26Z,24:6F:28:A9:A8:40,261.998
2021-10-22T03:02:28Z,24:6F:28:A9:A8:40,256.4347
2021-10-22T03:02:29Z,24:6F:28:A9:A8:40,271.6979
2021-10-22T03:02:30Z,24:6F:28:A9:A8:40,262.4364
2021-10-22T03:02:31Z,24:6F:28:A9:A8:40,264.447
2021-10-22T03:02:33Z,24:6F:28:A9:A8:40,262.0017
2021-10-22T03:02:34Z,24:6F:28:A9:A8:40,259.2382
2021-10-22T03:02:35Z,24:6F:28:A9:A8:40,259.8424
2021-10-22T03:02:36Z,24:6F:28:A9:A8:40,264.3551
2021-10-22T03:02:37Z,24:6F:28:A9:A8:40,265.7485
2021-10-22T03:02:39Z,24:6F:28:A9:A8:40,260.6191
2021-10-22T03:02:40Z,24:6F:28:A9:A8:40,263.5457
2021-10-22T03:02:41Z,24:6F:28:A9:A8:40,263.8824
2021-10-22T03:02:42Z,24:6F:28:A9:A8:40,268.2137
2021-10-22T03:02:44Z,24:6F:28:A9:A8:40,266.8543
2021-10-22T03:02:45Z,24:6F:28:A9:A8:40,264.1867
2021-10-22T03:02:46Z,24:6F:28:A9:A8:40,264.2877
2021-10-22T03:02:47Z,24:6F:28:A9:A8:40,263.7163
2021-10-22T03:02:48Z,24:6F:28:A9:A8:40,267.0559
2021-10-22T03:02:50Z,24:6F:28:A9:A8:40,260.6128
2021-10-22T03:02:51Z,24:6F:28:A9:A8:40,269.8615
2021-10-22T03:02:52Z,24:6F:28:A9:A8:40,256.6874
2021-10-22T03:02:53Z,24:6F:28:A9:A8:40,265.0847
2021-10-22T03:02:54Z,24:6F:28:A9:A8:40,268.6956
2021-10-22T03:02:56Z,24:6F:28:A9:A8:40,264.9195
2021-10-22T03:02:57Z,24:6F:28:A9:A8:40,257.7001
2021-10-22T03:02:58Z,24:6F:28:A9:A8:40,266.1945
2021-10-22T03:02:59Z,24:6F:28:A9:A8:40,263.762
2021-10-22T03:03:00Z,24:6F:28:A9:A8:40,263.3772
2021-10-22T03:03:02Z,24:6F:28:A9:A8:40,266.8884
2021-10-22T03:03:03Z,24:6F:28:A9:A8:40,265.6467
2021-10-22T03:03:04Z,24:6F:28:A9:A8:40,259.3044
2021-10-22T03:03:05Z,24:6F:28:A9:A8:40,267.8191
2021-10-22T03:03:07Z,24:6F:28:A9:A8:40,262.5377
2021-10-22T03:03:08Z,24:6F:28:A9:A8:40,265.3401
2021-10-22T03:03:09Z,24:6F:28:A9:A8:40,266.6088
2021-10-22T03:03:10Z,24:6F:28:A9:A8:40,256.9796
2021-10-22T03:03:11Z,24:6F:28:A9:A8:40,257.0416
2021-10-22T03:03:13Z,24:6F:28:A9:A8:40,262.3658
2021-10-22T03:03:14Z,24:6F:28:A9:A8:40,263.3035
2021-10-22T03:03:15Z,24:6F:28:A9:A8:40,264.8914
2021-10-22T03:03:16Z,24:6F:28:A9:A8:40,262.9258
2021-10-22T03:03:17Z,24:6F:28:A9:A8:40,261.3951
2021-10-22T03:03:19Z,24:6F:28:A9:A8:40,264.1718
2021-10-22T03:03:20Z,24:6F:28:A9:A8:40,261.9511
2021-10-22T03:03:21Z,24:6F:28:A9:A8:40,258.8134
2021-10-22T03:03:22Z,24:6F:28:A9:A8:40,255.5406
2021-10-22T03:03:24Z,24:6F:28:A9:A8:40,255.7336
2021-10-22T03:03:25Z,24:6F:28:A9:A8:40,260.1537
