created_at,device_id,power
2021-08-25T03:00:00Z,24:6F:28:A9:A8:40,317.1314
2021-08-25T03:00:01Z,24:6F:28:A9:A8:40,309.338
2021-08-25T03:00:02Z,24:6F:28:A9:A8:40,312.3693
2021-08-25T03:00:03Z,24:6F:28:A9:A8:40,320.5239
2021-08-25T03:00:04Z,24:6F:28:A9:A8:40,314.8831
2021-08-25T03:00:05Z,24:6F:28:A9:A8:40,316.6085
2021-08-25T03:00:06Z,24:6F:28:A9:A8:40,318.2812
2021-08-25T03:00:08Z,24:6F:28:A9:A8:40,326.1485
2021-08-25T03:00:09Z,24:6F:28:A9:A8:40,308.207
2021-08-25T03:00:10Z,24:6F:28:A9:A8:40,322.3365
2021-08-25T03:00:11Z,24:6F:28:A9:A8:40,317.9125
2021-08-25T03:00:12Z,24:6F:28:A9:A8:40,314.0964
2021-08-25T03:00:13Z,24:6F:28:A9:A8:40,311.8199
2021-08-25T03:00:14Z,24:6F:28:A9:A8:40,307.5376
2021-08-25T03:00:15Z,24:6F:28:A9:A8:40,314.0532
2021-08-25T03:00:17Z,24:6F:28:A9:A8:40,322.5099
2021-08-25T03:00:18Z,24:6F:28:A9:A8:40,309.8699
2021-08-25T03:00:19Z,24:6F:28:A9:A8:40,308.733
2021-08-25T03:00:20Z,24:6F:28:A9:A8:40,314.9131
2021-08-25T03:00:21Z,24:6F:28:A9:A8:40,322.1387
2021-08-25T03:00:22Z,24:6F:28:A9:A8:40,328.0395
2021-08-25T03:00:23Z,24:6F:28:A9:A8:40,307.0173
2021-08-25T03:00:24Z,24:6F:28:A9:A8:40,315.5804
2021-08-25T03:00:26Z,24:6F:28:A9:A8:40,320.0302
2021-08-25T03:00:27Z,24:6F:28:A9:A8:40,315.4304
2021-08-25T03:00:28Z,24:6F:28:A9:A8:40,310.2924
2021-08-25T03:00:29Z,24:6F:28:A9:A8:40,312.5375
2021-08-25T03:00:30Z,24:6F:28:A9:A8:40,318.1201
2021-08-25T03:00:31Z,24:6F:28:A9:A8:40,316.1061
2021-08-25T03:00:32Z,24:6F:28:A9:A8:40,313.3155
2021-08-25T03:00:33Z,24:6F:28:A9:A8:40,323.7149
2021-08-25T03:00:35Z,24:6F:28:A9:A8:40,312.4584
2021-08-25T03:00:36Z,24:6F:28:A9:A8:40,309.6573
2021-08-25T03:00:37Z,24:6F:28:A9:A8:40,312.9237
2021-08-25T03:00:38Z,24:6F:28:A9:A8:40,343.0386
2021-08-25T03:00:39Z,24:6F:28:A9:A8:40,311.5565
2021-08-25T03:00:40Z,24:6F:28:A9:A8:40,315.135
2021-08-25T03:00:41Z,24:6F:28:A9:A8:40,317.0575
2021-08-25T03:00:43Z,24:6F:28:A9:A8:40,317.0937
2021-08-25T03:00:44Z,24:6F:28:A9:A8:40,309.0515
2021-08-25T03:00:45Z,24:6F:28:A9:A8:40,314.1575
2021-08-25T03:00:46Z,24:6F:28:A9:A8:40,318.1761
2021-08-25T03:00:47Z,24:6F:28:A9:A8:40,313.6561
2021-08-25T03:00:48Z,24:6F:28:A9:A8:40,308.8518
2021-08-25T03:00:49Z,24:6F:28:A9:A8:40,310.6666
2021-08-25T03:00:50Z,24:6F:28:A9:A8:40,311.9723
2021-08-25T03:00:52Z,24:6F:28:A9:A8:40,311.8036
2021-08-25T03:00:53Z,24:6F:28:A9:A8:40,317.069
2021-08-25T03:00:54Z,24:6F:28:A9:A8:40,318.1067
2021-08-25T03:00:55Z,24:6F:28:A9:A8:40,307.8346
2021-08-25T03:00:56Z,24:6F:28:A9:A8:40,314.8146
2021-08-25T03:00:57Z,24:6F:28:A9:A8:40,309.1368
2021-08-25T03:00:58Z,24:6F:28:A9:A8:40,317.7388
2021-08-25T03:00:59Z,24:6F:28:A9:A8:40,311.8843
2021-08-25T03:01:01Z,24:6F:28:A9:A8:40,319.4281
2021-08-25T03:01:02Z,24:6F:28:A9:A8:40,312.2288
2021-08-25T03:01:03Z,24:6F:28:A9:A8:40,308.1321
2021-08-25T03:01:04Z,24:6F:28:A9:A8:40,307.6918
2021-08-25T03:01:05Z,24:6F:28:A9:A8:40,324.2805
2021-08-25T03:01:06Z,24:6F:28:A9:A8:40,314.1288
2021-08-25T03:01:07Z,24:6F:28:A9:A8:40,316.982
2021-08-25T03:01:08Z,24:6F:28:A9:A8:40,310.0628
2021-08-25T03:01:10Z,24:6F:28:A9:A8:40,316.2128
2021-08-25T03:01:11Z,24:6F:28:A9:A8:40,310.3956
2021-08-25T03:01:12Z,24:6F:28:A9:A8:40,316.0234
2021-08-25T03:01:13Z,24:6F:28:A9:A8:40,310.7924
2021-08-25T03:01:14Z,24:6F:28:A9:A8:40,313.7234
2021-08-25T03:01:15Z,24:6F:28:A9:A8:40,318.0182
2021-08-25T03:01:16Z,24:6F:28:A9:A8:40,309.8563
2021-08-25T03:01:18Z,24:6F:28:A9:A8:40,319.7446
2021-08-25T03:01:19Z,24:6F:28:A9:A8:40,315.9251
2021-08-25T03:01:20Z,24:6F:28:A9:A8:40,317.1985
2021-08-25T03:01:21Z,24:6F:28:A9:A8:40,310.1885
2021-08-25T03:01:22Z,24:6F:28:A9:A8:40,316.5209
2021-08-25T03:01:23Z,24:6F:28:A9:A8:40,316.8305
2021-08-25T03:01:24Z,24:6F:28:A9:A8:40,310.6801
2021-08-25T03:01:25Z,24:6F:28:A9:A8:40,308.6479
2021-08-25T03:01:27Z,24:6F:28:A9:A8:40,310.8407
2021-08-25T03:01:28Z,24:6F:28:A9:A8:40,309.0146
2021-08-25T03:01:29Z,24:6F:28:A9:A8:40,316.7569
2021-08-25T03:01:30Z,24:6F:28:A9:A8:40,308.9331
2021-08-25T03:01:31Z,24:6F:28:A9:A8:40,308.4593
2021-08-25T03:01:32Z,24:6F:28:A9:A8:40,319.7964
2021-08-25T03:01:33Z,24:6F:28:A9:A8:40,327.8098
2021-08-25T03:01:34Z,24:6F:28:A9:A8:40,314.2323
2021-08-25T03:01:36Z,24:6F:28:A9:A8:40,308.4578
2021-08-25T03:01:37Z,24:6F:28:A9:A8:40,311.5432
2021-08-25T03:01:38Z,24:6F:28:A9:A8:40,307.3594
2021-08-25T03:01:39Z,24:6F:28:A9:A8:40,313.1718
2021-08-25T03:01:40Z,24:6F:28:A9:A8:40,307.5949
2021-08-25T03:01:41Z,24:6F:28:A9:A8:40,306.6661
2021-08-25T03:01:42Z,24:6F:28:A9:A8:40,309.4886
2021-08-25T03:01:43Z,24:6F:28:A9:A8:40,314.085
2021-08-25T03:01:45Z,24:6F:28:A9:A8:40,317.0428
2021-08-25T03:01:46Z,24:6F:28:A9:A8:40,314.9423
2021-08-25T03:01:47Z,24:6F:28:A9:A8:40,314.8378
2021-08-25T03:01:48Z,24:6F:28:A9:A8:40,309.9573
2021-08-25T03:01:49Z,24:6F:28:A9:A8:40,312.3904
2021-08-25T03:01:50Z,24:6F:28:A9:A8:40,312.7568
2021-08-25T03:01:51Z,24:6F:28:A9:A8:40,313.5724
2021-08-25T03:01:53Z,24:6F:28:A9:A8:40,307.8961
2021-08-25T03:01:54Z,24:6F:28:A9:A8:40,316.8629
2021-08-25T03:01:55Z,24:6F:28:A9:A8:40,313.6604
2021-08-25T03:01:56Z,24:6F:28:A9:A8:40,313.3427
2021-08-25T03:01:57Z,24:6F:28:A9:A8:40,318.9426
2021-08-25T03:01:58Z,24:6F:28:A9:A8:40,309.0669
2021-08-25T03:01:59Z,24:6F:28:A9:A8:40,311.6619
2021-08-25T03:02:00Z,24:6F:28:A9:A8:40,318.0946
2021-08-25T03:02:02Z,24:6F:28:A9:A8:40,313.8672
2021-08-25T03:02:03Z,24:6F:28:A9:A8:40,305.9622
2021-08-25T03:02:04Z,24:6F:28:A9:A8:40,315.1447
2021-08-25T03:02:05Z,24:6F:28:A9:A8:40,305.4635
